Date,Price,Open,High,Low,Volume,Change(%)
23 Nov 2021,17503.35,17281.75,17553.7,17216.1,308843255,0.50%
22 Nov 2021,17416.55,17796.25,17805.25,17280.45,356400425,-1.96%
18 Nov 2021,17764.8,17890.55,17945.6,17688.5,278425148,-0.75%
17 Nov 2021,17898.65,17939.35,18022.65,17879.25,295715938,-0.56%
16 Nov 2021,17999.2,18127.05,18132.65,17958.8,267431829,-0.61%
15 Nov 2021,18109.45,18140.95,18210.15,18071.3,280428633,0.04%
12 Nov 2021,18102.75,17977.6,18123,17905.9,249111898,1.28%
11 Nov 2021,17873.6,17967.45,17971.35,17798.2,232121151,-0.80%
10 Nov 2021,18017.2,17973.45,18061.25,17915,261446523,-0.15%
09 Nov 2021,18044.25,18084.35,18112.6,17983.05,270197527,-0.13%
08 Nov 2021,18068.55,18040.2,18087.8,17836.1,338919483,0.85%
04 Nov 2021,17916.8,17935.05,17947.55,17900.6,48520856,0.49%
03 Nov 2021,17829.2,17947.95,17988.75,17757.95,330995982,-0.33%
02 Nov 2021,17888.95,17970.9,18012.25,17847.6,296441997,-0.23%
01 Nov 2021,17929.65,17783.15,17954.1,17697.1,281190130,1.46%
29 Oct 2021,17671.65,17833.05,17915.85,17613.1,336466864,-1.04%
28 Oct 2021,17857.25,18187.65,18190.7,17799.45,374205784,-1.94%
27 Oct 2021,18210.95,18295.85,18342.05,18167.9,335248487,-0.31%
26 Oct 2021,18268.4,18154.5,18310.45,18099.3,341377869,0.79%
25 Oct 2021,18125.4,18229.5,18241.4,17968.5,418703647,0.06%
22 Oct 2021,18114.9,18230.7,18314.25,18034.35,324748084,-0.35%
21 Oct 2021,18178.1,18382.7,18384.2,18048,365902008,-0.48%
20 Oct 2021,18266.6,18439.9,18458.3,18209.35,371276478,-0.83%
19 Oct 2021,18418.75,18602.35,18604.45,18377.7,368230309,-0.32%
18 Oct 2021,18477.05,18500.1,18543.15,18445.3,469883515,0.76%
14 Oct 2021,18338.55,18272.85,18350.75,18248.7,538714440,0.97%
13 Oct 2021,18161.75,18097.85,18197.8,18050.75,506679748,0.94%
12 Oct 2021,17991.95,17915.8,18008.65,17864.95,355568313,0.26%
11 Oct 2021,17945.95,17867.55,18041.95,17839.1,375756457,0.28%
08 Oct 2021,17895.2,17886.85,17941.85,17840.35,324066351,0.59%
07 Oct 2021,17790.35,17810.55,17857.55,17763.8,419890959,0.82%
06 Oct 2021,17646,17861.5,17884.6,17613.15,395833550,-0.99%
05 Oct 2021,17822.3,17661.35,17833.45,17640.9,427000191,0.74%
04 Oct 2021,17691.25,17615.55,17750.9,17581.35,295761839,0.91%
01 Oct 2021,17532.05,17531.9,17557.15,17452.9,305763919,-0.49%
30 Sep 2021,17618.15,17718.9,17742.15,17585.35,378592721,-0.53%
29 Sep 2021,17711.3,17657.95,17781.75,17608.15,562237732,-0.21%
28 Sep 2021,17748.6,17906.45,17912.85,17576.1,397997281,-0.60%
27 Sep 2021,17855.1,17932.2,17943.5,17802.9,295714657,0.01%
24 Sep 2021,17853.2,17897.45,17947.65,17819.4,360130853,0.17%
23 Sep 2021,17822.95,17670.85,17843.9,17646.55,320514486,1.57%
22 Sep 2021,17546.65,17580.9,17610.45,17524,295191136,-0.09%
21 Sep 2021,17562,17450.5,17578.35,17326.1,363578479,0.95%
20 Sep 2021,17396.9,17443.85,17622.75,17361.8,339102046,-1.07%
17 Sep 2021,17585.15,17709.65,17792.95,17537.65,508285916,-0.25%
16 Sep 2021,17629.5,17539.2,17644.6,17510.45,503310763,0.63%
15 Sep 2021,17519.45,17387.65,17532.7,17386.9,388191629,0.80%
14 Sep 2021,17380,17420.35,17438.55,17367.05,230354386,0.14%
13 Sep 2021,17355.3,17363.55,17378.35,17269.15,241053924,-0.08%
09 Sep 2021,17369.25,17312.85,17379.65,17302.7,241509352,0.09%
08 Sep 2021,17353.5,17375.75,17383.4,17254.2,252652423,-0.05%
07 Sep 2021,17362.1,17401.55,17436.5,17287,243417811,-0.09%
06 Sep 2021,17377.8,17399.35,17429.55,17345.55,228045532,0.31%
03 Sep 2021,17323.6,17262.45,17340.1,17212.2,261373795,0.52%
02 Sep 2021,17234.15,17095.4,17245.5,17059.7,242377518,0.92%
01 Sep 2021,17076.25,17185.6,17225.75,17055.05,301894634,-0.33%
31 Aug 2021,17132.2,16947.5,17153.5,16915.85,464390247,1.19%
30 Aug 2021,16931.05,16775.85,16951.5,16764.85,283483108,1.35%
27 Aug 2021,16705.2,16642.55,16722.05,16565.6,217405743,0.41%
26 Aug 2021,16636.9,16627.95,16683.7,16603.4,253530997,0.01%
25 Aug 2021,16634.65,16654,16712.45,16617.5,265920141,0.06%
24 Aug 2021,16624.6,16561.4,16647.1,16495.3,275362819,0.78%
23 Aug 2021,16496.45,16592.25,16592.5,16395.7,275597782,0.28%
20 Aug 2021,16450.5,16382.5,16509.55,16376.05,350819323,-0.71%
18 Aug 2021,16568.85,16691.95,16701.85,16535.85,251796822,-0.28%
17 Aug 2021,16614.6,16545.25,16628.55,16495.4,297388470,0.31%
16 Aug 2021,16563.05,16518.4,16589.4,16480.75,254049330,0.21%
13 Aug 2021,16529.1,16385.7,16543.6,16376.3,321866286,1.01%
12 Aug 2021,16364.4,16303.65,16375.5,16286.9,280181324,0.50%
